name;slug;value;date_of_information;ranking;region
"China";"china";"1,022,000,000";"2021";1;"East and Southeast Asia"
"India";"india";"644,000,000";"2021";2;"South Asia"
"United States";"united-states";"312,800,000";"2021";3;"North America"
"Brazil";"brazil";"170,100,000";"2021";4;"South America"
"Indonesia";"indonesia";"167,400,000";"2021";5;"East and Southeast Asia"
"Russia";"russia";"132,000,000";"2021";6;"Central Asia"
"Nigeria";"nigeria";"115,500,000";"2021";7;"Africa"
"Japan";"japan";"99,600,000";"2021";8;"East and Southeast Asia"
"Mexico";"mexico";"98,800,000";"2021";9;"North America"
"Egypt";"egypt";"79,200,000";"2021";10;"Africa"
"Germany";"germany";"75,530,000";"2021";11;"Europe"
"Vietnam";"vietnam";"71,780,000";"2021";12;"East and Southeast Asia"
"Iran";"iran";"69,520,000";"2021";13;"Middle East"
"Turkey (Turkiye)";"turkey-turkiye";"68,850,000";"2021";14;"Middle East"
"Bangladesh";"bangladesh";"66,300,000";"2021";15;"South Asia"
"United Kingdom";"united-kingdom";"64,990,000";"2021";16;"Europe"
"Thailand";"thailand";"61,200,000";"2021";17;"East and Southeast Asia"
"Philippines";"philippines";"58,300,000";"2021";18;"East and Southeast Asia"
"France";"france";"55,900,000";"2021";19;"Europe"
"Korea, South";"korea-south";"50,960,000";"2021";20;"East and Southeast Asia"
"Pakistan";"pakistan";"48,300,000";"2021";21;"South Asia"
"Italy";"italy";"44,250,000";"2021";22;"Europe"
"Spain";"spain";"44,180,000";"2021";23;"Europe"
"South Africa";"south-africa";"42,480,000";"2021";24;"Africa"
"Argentina";"argentina";"39,150,000";"2021";25;"South America"
"Colombia";"colombia";"37,960,000";"2021";26;"South America"
"Saudi Arabia";"saudi-arabia";"36,000,000";"2021";27;"Middle East"
"Canada";"canada";"35,340,000";"2021";28;"North America"
"Malaysia";"malaysia";"32,980,000";"2021";29;"East and Southeast Asia"
"Morocco";"morocco";"32,560,000";"2021";30;"Africa"
"Poland";"poland";"32,300,000";"2021";31;"Europe"
"Algeria";"algeria";"31,240,000";"2021";32;"Africa"
"Uzbekistan";"uzbekistan";"26,180,000";"2021";33;"Central Asia"
"Australia";"australia";"24,960,000";"2021";34;"Australia and Oceania"
"Peru";"peru";"24,140,000";"2021";35;"South America"
"Burma";"burma";"23,760,000";"2021";36;"East and Southeast Asia"
"Venezuela";"venezuela";"22,734,162";"2022";37;"South America"
"Ghana";"ghana";"22,440,000";"2021";38;"Africa"
"Taiwan";"taiwan";"21,600,000";"2021";39;"East and Southeast Asia"
"Iraq";"iraq";"21,560,000";"2021";40;"Middle East"
"Congo, Democratic Republic of the";"congo-democratic-republic-of-the";"21,102,720";"2021";41;"Africa"
"Tanzania";"tanzania";"20,480,000";"2021";42;"Africa"
"Ethiopia";"ethiopia";"20,400,000";"2021";43;"Africa"
"Kazakhstan";"kazakhstan";"17,290,000";"2021";44;"Central Asia"
"Chile";"chile";"17,100,000";"2021";45;"South America"
"Netherlands";"netherlands";"16,560,000";"2021";46;"Europe"
"Romania";"romania";"15,960,000";"2021";47;"Europe"
"Nepal";"nepal";"15,600,000";"2021";48;"South Asia"
"Kenya";"kenya";"15,370,000";"2021";49;"Africa"
"Sri Lanka";"sri-lanka";"14,740,000";"2021";50;"South Asia"
"Ecuador";"ecuador";"13,680,000";"2021";51;"South America"
"Sudan";"sudan";"13,248,000";"2021";52;"Africa"
"Cameroon";"cameroon";"12,420,000";"2021";53;"Africa"
"Cote d'Ivoire";"cote-divoire";"12,150,000";"2021";54;"Africa"
"Angola";"angola";"11,550,000";"2021";55;"Africa"
"Belgium";"belgium";"10,920,000";"2021";56;"Europe"
"Cambodia";"cambodia";"10,200,000";"2021";57;"East and Southeast Asia"
"Senegal";"senegal";"9,860,000";"2021";58;"Africa"
"Tunisia";"tunisia";"9,480,000";"2021";59;"Africa"
"United Arab Emirates";"united-arab-emirates";"9,400,000";"2021";60;"Middle East"
"Dominican Republic";"dominican-republic";"9,350,000";"2021";61;"Central America and the Caribbean"
"Guatemala";"guatemala";"9,180,000";"2021";62;"Central America and the Caribbean"
"Czechia";"czechia";"9,130,000";"2021";63;"Europe"
"Jordan";"jordan";"9,130,000";"2021";64;"Middle East"
"Sweden";"sweden";"8,800,000";"2021";65;"Europe"
"Hungary";"hungary";"8,633,000";"2021";66;"Europe"
"Azerbaijan";"azerbaijan";"8,600,000";"2021";67;"Middle East"
"Syria";"syria";"8,492,468";"2022";68;"Middle East"
"Belarus";"belarus";"8,352,000";"2021";69;"Europe"
"Switzerland";"switzerland";"8,352,000";"2021";70;"Europe"
"Austria";"austria";"8,277,000";"2021";71;"Europe"
"Yemen";"yemen";"8,229,624";"2022";72;"Middle East"
"Portugal";"portugal";"8,200,000";"2021";73;"Europe"
"Israel";"israel";"8,010,000";"2021";74;"Middle East"
"Bolivia";"bolivia";"7,920,000";"2021";75;"South America"
"Cuba";"cuba";"7,810,000";"2021";76;"Central America and the Caribbean"
"Greece";"greece";"7,800,000";"2021";77;"Europe"
"Mali";"mali";"7,480,000";"2021";78;"Africa"
"Afghanistan";"afghanistan";"7,020,000";"2020";79;"South Asia"
"Hong Kong";"hong-kong";"6,975,000";"2021";80;"East and Southeast Asia"
"Denmark";"denmark";"5,841,000";"2021";81;"Europe"
"Madagascar";"madagascar";"5,800,000";"2021";82;"Africa"
"Zimbabwe";"zimbabwe";"5,600,000";"2021";83;"Africa"
"Serbia";"serbia";"5,589,000";"2021";84;"Europe"
"Niger";"niger";"5,500,000";"2021";85;"Africa"
"Mozambique";"mozambique";"5,440,000";"2021";86;"Africa"
"Singapore";"singapore";"5,369,000";"2021";87;"East and Southeast Asia"
"Norway";"norway";"5,346,000";"2021";88;"Europe"
"Bulgaria";"bulgaria";"5,175,000";"2021";89;"Europe"
"Paraguay";"paraguay";"5,159,000";"2021";90;"South America"
"Finland";"finland";"5,115,000";"2021";91;"Europe"
"Kyrgyzstan";"kyrgyzstan";"5,070,000";"2021";92;"Central Asia"
"Guinea";"guinea";"4,900,000";"2021";93;"Africa"
"New Zealand";"new-zealand";"4,896,000";"2021";94;"Australia and Oceania"
"Lebanon";"lebanon";"4,872,000";"2021";95;"Middle East"
"Burkina Faso";"burkina-faso";"4,840,000";"2021";96;"Africa"
"Slovakia";"slovakia";"4,806,000";"2021";97;"Europe"
"Honduras";"honduras";"4,800,000";"2021";98;"Central America and the Caribbean"
"Malawi";"malawi";"4,800,000";"2021";99;"Africa"
"Ireland";"ireland";"4,750,000";"2021";100;"Europe"
"Uganda";"uganda";"4,600,000";"2021";101;"Africa"
"Laos";"laos";"4,588,000";"2021";102;"East and Southeast Asia"
"Benin";"benin";"4,420,000";"2021";103;"Africa"
"Oman";"oman";"4,320,000";"2021";104;"Middle East"
"Costa Rica";"costa-rica";"4,316,000";"2021";105;"Central America and the Caribbean"
"Kuwait";"kuwait";"4,300,000";"2021";106;"Middle East"
"Haiti";"haiti";"4,290,000";"2021";107;"Central America and the Caribbean"
